project	bugNumber	assignmentDate	ourTopRecommendedRealAssignee	ourTopRecommendedRealAssigneeRank	totalCommunityMembers	realAssigneesTillNow
julialang/julia	772	Sun Apr 29 00:29:53 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	445	Sun Apr 29 20:15:34 MDT 2012	jeffbezanson	1	831	viralbshah, jeffbezanson
julialang/julia	782	Tue May 01 04:19:16 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	786	Tue May 01 15:19:50 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	353	Tue May 01 16:39:13 MDT 2012	viralbshah	2	831	viralbshah
julialang/julia	31	Tue May 01 16:42:26 MDT 2012	viralbshah	2	831	viralbshah
julialang/julia	677	Tue May 01 16:51:35 MDT 2012	viralbshah	2	831	viralbshah
julialang/julia	763	Tue May 01 21:47:46 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	326	Wed May 02 16:24:52 MDT 2012	jeffbezanson	1	831	viralbshah, jeffbezanson
julialang/julia	744	Wed May 02 20:39:01 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	734	Wed May 02 20:41:27 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	799	Thu May 03 21:36:00 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	799	Thu May 03 22:27:49 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	767	Thu May 03 23:30:39 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	607	Sat May 05 01:02:48 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	802	Sat May 05 06:12:13 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	803	Sat May 05 11:40:12 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	804	Sat May 05 16:25:01 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	807	Sat May 05 20:02:50 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	815	Tue May 08 17:04:58 MDT 2012	viralbshah	2	831	viralbshah
julialang/julia	816	Wed May 09 02:42:19 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	823	Thu May 10 19:57:19 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	825	Thu May 10 20:26:51 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	819	Fri May 11 01:33:56 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	835	Mon May 14 02:30:12 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	828	Mon May 14 07:47:24 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	821	Mon May 14 17:20:35 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	814	Mon May 14 17:22:09 MDT 2012	jeffbezanson	1	831	jeffbezanson
julialang/julia	826	Tue May 15 06:40:17 MDT 2012	vtjnash	3	831	vtjnash
