project	bugNumber	assignmentDate	ourTopRecommendedRealAssignee	ourTopRecommendedRealAssigneeRank	totalCommunityMembers	realAssigneesTillNow
adobe/brackets	48	Wed Jan 18 00:48:09 MST 2012	joelrbrandt	6	864	joelrbrandt
adobe/brackets	105	Wed Jan 18 06:12:15 MST 2012	redmunds	704	864	redmunds
adobe/brackets	104	Wed Jan 18 06:16:47 MST 2012	tvoliter	8	864	tvoliter
adobe/brackets	103	Wed Jan 18 06:17:58 MST 2012	redmunds	1	864	redmunds
adobe/brackets	102	Wed Jan 18 06:29:04 MST 2012	tvoliter	6	864	tvoliter
adobe/brackets	84	Wed Jan 18 18:19:57 MST 2012	redmunds	2	864	redmunds
adobe/brackets	30	Wed Jan 18 23:04:22 MST 2012	tvoliter	2	864	peterflynn, tvoliter, njx
adobe/brackets	85	Thu Jan 19 02:17:53 MST 2012	tvoliter	1	864	tvoliter, jasonsanjose
adobe/brackets	52	Thu Jan 19 18:12:46 MST 2012	jasonsanjose	3	864	peterflynn, jasonsanjose
adobe/brackets	77	Thu Jan 19 18:13:20 MST 2012	jasonsanjose	2	864	peterflynn, jasonsanjose
adobe/brackets	79	Thu Jan 19 18:35:15 MST 2012	redmunds	3	864	redmunds, njx
adobe/brackets	72	Thu Jan 19 18:36:03 MST 2012	peterflynn	1	864	peterflynn, njx
adobe/brackets	106	Thu Jan 19 18:38:49 MST 2012	njx	3	864	njx
adobe/brackets	79	Thu Jan 19 18:39:43 MST 2012	njx	1	864	redmunds, njx
adobe/brackets	26	Thu Jan 19 18:40:01 MST 2012	chrisbank	5	864	chrisbank, jasonsanjose, gruehle
adobe/brackets	26	Thu Jan 19 19:29:25 MST 2012	jasonsanjose	1	864	chrisbank, jasonsanjose, gruehle
adobe/brackets	52	Thu Jan 19 22:40:43 MST 2012	jasonsanjose	1	864	peterflynn, jasonsanjose
adobe/brackets	60	Thu Jan 19 22:47:26 MST 2012	peterflynn	1	864	peterflynn, gruehle
adobe/brackets	49	Thu Jan 19 23:04:01 MST 2012	peterflynn	1	864	peterflynn, gruehle
adobe/brackets	77	Thu Jan 19 23:16:13 MST 2012	peterflynn	1	864	peterflynn, jasonsanjose
adobe/brackets	84	Fri Jan 20 00:03:36 MST 2012	redmunds	2	864	redmunds, njx
adobe/brackets	84	Fri Jan 20 01:18:18 MST 2012	njx	1	864	redmunds, njx
adobe/brackets	109	Fri Jan 20 02:44:12 MST 2012	njx	1	864	njx
adobe/brackets	76	Fri Jan 20 03:10:55 MST 2012	njx	1	864	njx
adobe/brackets	111	Fri Jan 20 03:17:20 MST 2012	redmunds	7	864	redmunds
