projectId	bugNumer	date	login	assignmentType	eventId	commitSHA
203666	245	2011-04-15T23:20:09.000Z	ryanlower	2	271623	ab3e04b7ae877f7b277e4508692211038f69f71e	
203666	246	2011-04-15T23:20:09.000Z	ryanlower	2	271624	ab3e04b7ae877f7b277e4508692211038f69f71e	
203666	250	2011-04-15T23:20:10.000Z	ryanlower	2	271625	2c30dcafee5353d08d8bc7deeb96a4a0920c99d7	
203666	251	2011-04-15T23:20:11.000Z	ryanlower	2	271626	a9daa364051972aa3c6fd5e63d6496fb0b750c54	
507775	862	2011-04-18T16:16:19.000Z	imotov	2	296191	763f986a30b859d62d23c8cde9a748a6b75975e0	
507775	863	2011-04-18T16:16:19.000Z	imotov	2	296192	b94fab34eb99ef463558fb3514207661e197eead	
203666	102	2011-04-20T17:57:40.000Z	demonbane	2	328295	e28b05ac86ab5dc44f7441520ecb9b59010bbf48	
203666	113	2011-04-20T17:57:40.000Z	demonbane	2	328296	3ea111c7f82f35a85d8bb205cdb7f070e979e27d	
203666	116	2011-04-20T17:57:40.000Z	demonbane	2	328297	ec6e901f52fcb85c608480dde5a3ca06c5196170	
203666	121	2011-04-20T17:57:40.000Z	demonbane	2	328298	9d6d16b425488a2c94d0ef4ec2f3ef5e7a6cb413	
203666	122	2011-04-20T17:57:40.000Z	demonbane	2	328299	1682dd24483278174310a18055ef362bb9c590a3	
203666	125	2011-04-20T17:57:40.000Z	demonbane	2	328300	ab0e7e08cbf914401fbb4a4c8e6526c7d971558b	
203666	60	2011-04-20T17:57:41.000Z	demonbane	2	328307	9a40a17e9faa57a5bf817eefa9c4f160691c5674	
203666	141	2011-04-20T17:57:41.000Z	demonbane	2	328301	58a8f71991f06c6ff1ecc75a6f7a9f2755ee280e	
203666	155	2011-04-20T17:57:41.000Z	demonbane	2	328302	5d8fec15015d631749cd9d3b7d39b380be24c400	
203666	169	2011-04-20T17:57:41.000Z	demonbane	2	328304	cebfc4f91f9b0f33d6355eadc22ad4c882f8125b	
203666	171	2011-04-20T17:57:41.000Z	demonbane	2	328303	d555ec47cde1ec7538e5530b12af77d923763b3a	
203666	174	2011-04-20T17:57:41.000Z	demonbane	2	328305	8880448fcb70512f6fcd819acb0ba1db0fcebfb0	
203666	175	2011-04-20T17:57:41.000Z	demonbane	2	328306	8fdab3e8b413a7a5575cc45de5d65ab60ebff089	
203666	203	2011-04-20T17:57:41.000Z	demonbane	2	328310	5d1fa26e5ef6b9cb6c922c9363523e38e1f6c688	
203666	204	2011-04-20T17:57:41.000Z	demonbane	2	328309	e9586d3074b8049b2e12ca9844ab7f3bda00d9a2	
460078	40	2011-04-20T18:07:07.000Z	groner	2	328528	23b255a8b7481ff5c06004b3558c07f981c42276	
460078	85	2011-04-20T18:07:07.000Z	groner	2	328521	0a6cf70debc6440685af3f9ea96a66450e4f4ed7	
